Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
161,Janik Haberer,1. FC Union Berlin,1.3,18,1223,21,GER
162,Manuel Riemann,VfL Bochum,1.2,38,2970,33,GER
163,Marvin Pieringer,1. FC Heidenheim 1846,1.2,21,1520,31,GER
164,Robin Zentner,1. FSV Mainz 05,1.2,35,2700,30,GER
165,Serhou Guirassy,VfB Stuttgart,1.2,29,2212,28,GUI
166,Oscar Vilhelmsson,SV Darmstadt,1.2,19,1375,26,SWE
167,Luca Pfeiffer,SV Darmstadt,1.2,21,1625,24,GER
168,Fabian Holland,SV Darmstadt,1.2,25,1847,23,GER
169,Nadiem Amiri,1. FSV Mainz 05,1.2,19,1401,23,GER
170,Salih Ã–zcan,Borussia Dortmund,1.2,16,1179,23,TUR
170,Marius Wolf,Borussia Dortmund,1.2,16,1161,22,GER
172,Rocco Reitz,Borussia Mönchengladbach,1.1,25,2141,34,GER
173,Alejandro Grimaldo,Bayer 04 Leverkusen,1.1,35,2785,33,ESP
174,Benjamin Henrichs,RB Leipzig,1.1,30,2531,33,GER
175,Maximilian Eggestein,SC Freiburg,1.1,36,2918,33,GER
176,Christoph Baumgartner,RB Leipzig,1.1,14,1149,32,AUT
177,Nathan N'Goumou,Borussia Mönchengladbach,1.1,17,1381,32,FRA
178,Kevin Behrens,VfL Wolfsburg,1.1,24,1880,31,GER
179,Nick Woltemade,SV Werder Bremen,1.1,15,1182,30,GER
180,Wout Weghorst,TSG Hoffenheim,1.1,24,1987,28,NED
181,Kristijan Jakic,FC Augsburg,1.1,16,1253,18,CRO
182,Franck Honorat,Borussia Mönchengladbach,1.0,27,2358,32,FRA
183,Finn Dahmen,FC Augsburg,1.0,30,2790,31,GER
184,Niclas Füllkrug,Borussia Dortmund,1.0,26,2405,31,GER
185,Ritsu Doan,SC Freiburg,1.0,24,2253,30,JPN
186,Philipp Hofmann,VfL Bochum,1.0,17,1576,29,GER
187,Joshua Kimmich,Bayern München,1.0,24,2185,28,GER
188,Yussuf Poulsen,RB Leipzig,1.0,14,1209,28,DEN
189,Gregor Kobel,Borussia Dortmund,1.0,25,2366,27,SUI
190,Moritz Nicolas,Borussia Mönchengladbach,1.0,28,2430,27,GER
191,Roland Sallai,SC Freiburg,1.0,21,1850,27,HUN
192,Marco Reus,Borussia Dortmund,1.0,18,1612,26,GER
193,Koen Casteels,VfL Wolfsburg,1.0,26,2250,25,BEL
194,Aissa Laidouni,1. FC Union Berlin,1.0,12,1064,23,TUN
195,Philipp Max,Eintracht Frankfurt,1.0,15,1357,23,GER
196,Arne Maier,FC Augsburg,1.0,11,998,22,GER
197,Janis Blaswich,RB Leipzig,1.0,20,1890,21,GER
198,Goncalo Paciencia,VfL Bochum,1.0,7,645,19,POR
199,Josha Vagnoman,VfB Stuttgart,1.0,13,1181,18,GER
200,Jakub Kaminski,VfL Wolfsburg,1.0,5,465,17,POL
201,Oliver Baumann,TSG Hoffenheim,0.9,31,3060,34,GER
202,Frederik RÃ¸nnow,1. FC Union Berlin,0.9,30,2970,33,DEN
203,Robin Hack,Borussia Mönchengladbach,0.9,14,1345,29,GER
204,Xaver Schlager,RB Leipzig,0.9,26,2482,29,AUT
205,Robert Andrich,Bayer 04 Leverkusen,0.9,17,1681,28,GER
206,Faride Alidou,FC Köln,0.9,13,1284,26,GER
207,Elvis Rexhbecaj,FC Augsburg,0.9,20,1994,25,GER
208,Exequiel Palacios,Bayer 04 Leverkusen,0.9,18,1840,24,ARG
209,Kouadio Koné,Borussia Mönchengladbach,0.9,15,1565,22,FRA
210,Umut Tohumcu,TSG Hoffenheim,0.9,10,1012,20,GER
210,Rafael Santos Borre,SV Werder Bremen,0.9,10,989,19,COL
212,Maximilian Philipp,SC Freiburg,0.9,3,311,17,GER
213,Ermedin Demirovic,FC Augsburg,0.8,24,2879,33,BIH
214,Florian Kainz,FC Köln,0.8,20,2210,33,AUT
215,Angelo Stiller,VfB Stuttgart,0.8,26,2780,32,GER
216,Vincenzo Grifo,SC Freiburg,0.8,20,2344,32,ITA
217,Jan-Niklas Beste,1. FC Heidenheim 1846,0.8,23,2618,31,GER
218,Marcel Schuhen,SV Darmstadt,0.8,24,2790,31,GER
218,Alexander Nobel,VfB Stuttgart,0.8,24,2700,30,GER
220,Jae-Sung Lee,1. FSV Mainz 05,0.8,20,2124,29,KOR
221,Fares Chaibi,Eintracht Frankfurt,0.8,17,1920,28,ALG
222,Eric Maxim Choupo-Moting,Bayern München,0.8,6,703,27,CMR
223,Matthias Bader,SV Darmstadt,0.8,17,1807,24,GER
224,Manuel Neuer,Bayern München,0.8,19,2054,23,GER
225,Victor Okoh Boniface,Bayer 04 Leverkusen,0.8,13,1553,23,NGA
226,Tomas Cvancara,Borussia Mönchengladbach,0.8,8,892,21,CZE
227,Aleksandar Pavlovic,Bayern München,0.8,11,1228,19,GER
228,Mikkel Kaufmann,1. FC Union Berlin,0.8,4,479,18,DEN
229,Jamie Leweling,VfB Stuttgart,0.7,12,1519,34,GER
230,Jonas Wind,VfL Wolfsburg,0.7,21,2660,34,DEN
231,Marvin SchwÃ¤be,FC Köln,0.7,24,3060,34,GER
232,Marvin Ducksch,SV Werder Bremen,0.7,22,2710,33,GER
233,Ihlas Bebou,TSG Hoffenheim,0.7,12,1628,32,TOG
234,Julian Brandt,Borussia Dortmund,0.7,18,2230,32,GER
235,Ruben Vargas,FC Augsburg,0.7,16,1978,31,SUI
236,Tim Skarke,SV Darmstadt,0.7,19,2418,30,GER
237,Kevin Kampl,RB Leipzig,0.7,11,1360,26,SVN
237,Kevin Volland,1. FC Union Berlin,0.7,11,1346,26,GER
239,Ludovic Ajorque,1. FSV Mainz 05,0.7,10,1355,26,FRA
240,Tiago Tomás,VfL Wolfsburg,0.7,8,1029,26,POR
241,Woo-Yeong Jeong,VfB Stuttgart,0.7,5,618,26,KOR
242,Christopher Antwi-Adjej,VfL Bochum,0.7,9,1216,25,GHA
243,Nathan Tella,Bayer 04 Leverkusen,0.7,6,812,24,NGA
244,Tobias Kempe,SV Darmstadt,0.7,11,1351,24,GER
245,Dani Olmo,RB Leipzig,0.7,12,1454,21,ESP
245,Marvin Mehlem,SV Darmstadt,0.7,12,1491,20,GER
247,Sargis Adamyan,FC Köln,0.7,6,797,20,ARM
248,Noah Atubolu,SC Freiburg,0.6,21,3060,34,GER
249,Kevin Trapp,Eintracht Frankfurt,0.6,19,2880,32,GER
250,Ansgar Knauff,Eintracht Frankfurt,0.6,13,2117,31,GER
251,Jeremie Frimpong,Bayer 04 Leverkusen,0.6,15,2263,31,NED
252,Konrad Laimer,Bayern München,0.6,11,1770,29,AUT
253,Michael Zetterer,SV Werder Bremen,0.6,17,2430,27,GER
254,Denis Huseinbasic,FC Köln,0.6,11,1627,26,BIH
255,Dion Drena Beljo,FC Augsburg,0.6,4,562,26,CRO
256,Florian Neuhaus,Borussia Mönchengladbach,0.6,8,1226,25,GER
257,Sven Michel,FC Augsburg,0.6,4,574,22,GER
258,Patrik Schick,Bayer 04 Leverkusen,0.6,7,1064,20,CZE
259,Youssoufa Moukoko,Borussia Dortmund,0.6,4,614,20,GER
260,Ikoma Lois Openda,RB Leipzig,0.5,14,2716,34,BEL
261,Eren Dinkci,1. FC Heidenheim 1846,0.5,16,2672,33,TUR
262,Lukas Hradecky,Bayer 04 Leverkusen,0.5,18,2970,33,FIN
263,Romano Schmid,SV Werder Bremen,0.5,14,2614,33,AUT
264,Kevin Stöger,VfL Bochum,0.5,15,2678,32,AUT
265,Lovro Majer,VfL Wolfsburg,0.5,12,2116,32,CRO
266,Linton Maina,FC Köln,0.5,11,1904,31,GER
267,Mathys Tel,Bayern München,0.5,6,1031,30,FRA
268,Dejan Ljubicic,FC Köln,0.5,11,2055,26,AUT
269,Jamie Bynoe-Gittens,Borussia Dortmund,0.5,6,1059,25,ENG
270,Amine Adli,Bayer 04 Leverkusen,0.5,5,890,23,MAR
271,Gian-Luca Waldschmidt,FC Köln,0.5,6,1151,22,GER
271,Julian Justvan,SV Darmstadt,0.5,6,1069,18,GER
273,Kevin Muller,1. FC Heidenheim 1846,0.4,14,3060,34,GER
274,Maximilian Beier,TSG Hoffenheim,0.4,11,2431,33,GER
275,Harry Kane,Bayern München,0.4,14,2843,32,ENG
276,Andrej Kramaric,TSG Hoffenheim,0.4,11,2206,30,CRO
277,Mario Götze,Eintracht Frankfurt,0.4,10,2075,30,GER
277,Takuma Asano,VfL Bochum,0.4,10,2003,29,JPN
279,Donyell Malen,Borussia Dortmund,0.4,8,1783,27,NED
280,Justin Njinmah,SV Werder Bremen,0.4,5,1012,24,GER
281,Karim Onisiwo,1. FSV Mainz 05,0.4,7,1496,24,AUT
282,Václav Cerný,VfL Wolfsburg,0.4,4,923,22,CZE
282,Karim Adeyemi,Borussia Dortmund,0.4,4,911,21,GER
284,Nikola Dovedan,1. FC Heidenheim 1846,0.4,3,646,21,AUT
285,Raphaël Guerreiro,Bayern München,0.4,5,1194,20,POR
286,Enzo Millot,VfB Stuttgart,0.3,7,2254,31,FRA
287,Thomas Müller,Bayern München,0.3,6,1659,31,GER
287,Leonardo Bittencourt,SV Werder Bremen,0.3,6,1585,29,GER
289,Omar Marmoush,Eintracht Frankfurt,0.3,7,2310,29,EGY
290,Alassane Plea,Borussia Mönchengladbach,0.3,6,1925,27,FRA
291,Silas Katompa Mvumpa,VfB Stuttgart,0.3,3,890,27,COD
292,Moritz Broschinski,VfL Bochum,0.3,4,1242,26,GER
293,Florian Pick,1. FC Heidenheim 1846,0.3,1,315,22,GER
294,Kingsley Coman,Bayern München,0.3,4,1123,17,FRA
295,Chris Führich,VfB Stuttgart,0.2,6,2594,34,GER
296,Jonas Hofmann,Bayer 04 Leverkusen,0.2,4,2214,32,GER
297,Brenden Aaronson,1. FC Union Berlin,0.2,3,1263,30,USA
298,Deniz Undav,VfB Stuttgart,0.2,5,2096,30,GER
299,Brajan Gruda,1. FSV Mainz 05,0.2,4,1651,28,GER
300,Jamal Musiala,Bayern München,0.2,3,1766,24,GER
301,Adam Hlozek,Bayer 04 Leverkusen,0.2,1,451,23,CZE
301,Dawid Kownacki,SV Werder Bremen,0.2,1,366,22,POL
301,Jessic Ngankam,Eintracht Frankfurt,0.2,1,450,22,GER
301,Lukas Daschner,VfL Bochum,0.2,1,525,20,GER
305,Florian Wirtz,Bayer 04 Leverkusen,0.1,3,2377,32,GER
306,Xavi Simons,RB Leipzig,0.1,2,2673,32,NED
306,Benedict Hollerbach,1. FC Union Berlin,0.1,2,1283,28,GER
306,Leroy SanÃ©,Bayern München,0.1,2,2142,27,GER
306,Jonathan Burkardt,1. FSV Mainz 05,0.1,2,1541,21,GER
310,Marco Richter,1. FSV Mainz 05,0.1,1,713,20,GER
